timestep,gt_policy_id,pred_policy_id,confidence,entropy
3.266667,0,0,0.999882,0.001184
3.300000,0,0,0.999882,0.001184
3.333333,0,0,0.999969,0.000354
3.366667,0,0,0.999969,0.000354
3.400000,0,0,0.999969,0.000354
3.433333,0,0,1.000000,0.000000
3.466667,0,0,1.000000,0.000000
3.500000,0,0,1.000000,0.000000
3.533333,0,0,1.000000,0.000000
3.566667,0,0,1.000000,0.000000
3.600000,0,0,1.000000,0.000005
3.633333,0,0,1.000000,0.000005
3.666667,0,0,1.000000,0.000000
3.700000,0,0,1.000000,0.000000
3.733333,0,0,1.000000,0.000000
3.766667,0,0,1.000000,0.000003
3.800000,0,0,1.000000,0.000001
3.833333,0,0,0.999985,0.000179
3.866667,0,0,0.999985,0.000179
3.900000,0,0,0.999930,0.000739
3.933333,0,0,0.999857,0.001409
3.966667,0,0,0.973180,0.123507
4.000000,0,0,0.999210,0.006435
4.033333,0,0,0.999210,0.006435
4.066667,0,0,0.999210,0.006435
4.100000,0,0,0.999210,0.006435
4.133333,0,0,0.999182,0.006630
4.166667,0,0,0.999182,0.006630
4.200000,0,0,0.999993,0.000085
4.233333,0,0,0.999993,0.000085
4.266667,0,0,0.999999,0.000008
4.300000,0,0,0.954953,0.183665
4.333333,0,0,0.954953,0.183665
4.366667,0,0,0.954953,0.183665
4.400000,0,0,0.954953,0.183665
4.433333,0,0,1.000000,0.000000
4.466667,0,0,1.000000,0.000000
4.500000,0,0,1.000000,0.000000
4.533333,0,0,1.000000,0.000000
4.566667,0,0,0.999971,0.000333
4.600000,0,0,0.999971,0.000333
4.633333,0,0,0.999998,0.000028
4.666667,0,0,0.999998,0.000028
4.700000,0,0,0.999998,0.000028
4.733333,0,0,0.999998,0.000028
4.766667,0,0,0.999999,0.000013
4.800000,0,0,0.999999,0.000013
4.833333,0,0,1.000000,0.000004
4.866667,0,0,0.999995,0.000064
4.900000,0,0,0.999995,0.000064
4.933333,0,0,0.999995,0.000064
4.966667,0,0,0.999995,0.000064
5.000000,0,0,1.000000,0.000002
5.033333,0,0,0.999992,0.000104
5.066667,0,0,0.999992,0.000104
5.100000,0,0,0.999992,0.000104
5.133333,0,0,0.999998,0.000034
5.166667,0,0,0.999997,0.000038
5.200000,0,0,0.999997,0.000038
5.233333,0,0,0.999979,0.000247
5.266667,0,0,0.999979,0.000247
5.300000,0,0,0.999979,0.000247
5.333333,0,0,0.999995,0.000061
5.366667,0,0,0.999995,0.000061
5.400000,0,0,0.999995,0.000061
5.433333,0,0,0.999995,0.000061
5.466667,0,0,0.999415,0.004939
5.500000,0,0,0.999939,0.000655
5.533333,0,0,0.999939,0.000655
5.566667,0,0,0.999967,0.000369
5.600000,0,0,0.999667,0.002997
5.633333,0,0,0.999667,0.002997
5.666667,0,0,1.000000,0.000002
5.700000,0,0,0.993501,0.039206
5.733333,0,0,0.999868,0.001308
5.766667,0,0,0.999976,0.000283
5.800000,0,0,0.999976,0.000283
5.833333,0,0,0.999973,0.000315
5.866667,0,0,0.999959,0.000457
5.900000,0,0,0.999817,0.001754
5.933333,0,0,0.999937,0.000675
5.966667,0,0,0.999937,0.000675
6.000000,0,0,0.999918,0.000854
6.033333,0,0,0.999918,0.000854
6.066667,0,0,0.999995,0.000064
6.100000,0,0,0.999995,0.000064
6.133333,0,0,0.999910,0.000929
6.166667,0,0,0.953638,0.187660
6.200000,0,0,0.999039,0.007638
6.233333,0,0,0.999149,0.006866
6.266667,0,0,0.999939,0.000656
6.300000,0,0,0.999997,0.000045
6.333333,0,0,0.999997,0.000038
6.366667,0,0,0.999997,0.000038
6.400000,0,0,1.000000,0.000002
6.433333,0,0,1.000000,0.000002
6.466667,0,0,1.000000,0.000002
6.500000,0,0,0.999998,0.000028
6.533333,0,0,0.999989,0.000138
6.566667,0,0,0.999439,0.004757
6.600000,0,0,0.999439,0.004757
6.633333,0,0,0.998266,0.012757
6.666667,0,0,0.998266,0.012757
6.700000,0,0,0.999999,0.000020
6.733333,0,0,0.999999,0.000020
6.766667,1,0,0.999999,0.000020
6.800000,1,0,0.999999,0.000020
6.833333,1,0,0.999148,0.006877
6.866667,1,0,0.998845,0.008965
6.900000,1,0,0.999315,0.005673
6.933333,1,0,0.995347,0.029628
6.966667,1,0,0.998846,0.008961
7.000000,1,0,0.994647,0.033333
7.033333,1,0,0.999995,0.000065
7.066667,1,0,0.999938,0.000659
7.100000,1,0,0.999385,0.005163
7.133333,1,0,0.999977,0.000266
7.166667,1,0,0.997188,0.019324
7.200000,1,0,0.999801,0.001894
7.233333,1,0,0.999239,0.006228
7.266667,1,0,0.994706,0.033025
7.300000,1,1,0.642484,0.651975
7.333333,1,0,0.999883,0.001178
7.366667,1,0,0.999970,0.000340
7.400000,1,0,0.999910,0.000929
7.433333,1,0,0.999730,0.002490
7.466667,1,0,0.999950,0.000541
7.500000,1,0,0.999577,0.003706
7.533333,1,0,0.999888,0.001129
7.566667,0,0,0.999806,0.001850
7.600000,0,0,0.999806,0.001850
7.633333,0,1,0.941672,0.222342
7.666667,0,0,0.999889,0.001118
7.700000,0,0,0.999989,0.000134
7.733333,0,0,0.999989,0.000134
7.766667,0,0,0.999999,0.000010
7.800000,0,0,0.989994,0.056029
7.833333,0,0,0.943123,0.218286
7.866667,0,0,0.999860,0.001383
